No Tiang, Alamat, Ket
DNG01005T017,SEMBUNGAN BTS,
DNG01005T032,SEMBUNGAN KEJAJAR,√
DNG01024,GUDANG GEODIPA,
DNG01043,DPT DIENG,
DNG010670023,REPEATER GUNUNG PRAU,
DNG01098,PATAK BANTENG KEJAJAR,
DNG01137,GARDU PANDANG TIENG KEJAJAR,√
DNG01138,BTS GARDU PANDANG TIENG KEJAJAR,√
DNG01188T036,Kandang ayam IGRIMRANAK,
DNG01188T052,GEJUGAN WATES WONOBOYO,
DNG01211,KEJAJAR,
DNG02075S019,CAMPURSARI KEJAJAR,
DNG02075S038,PLEMBURAN CAMPURSARI KEJAJAR,
DNG02083U020A,BAKAL BATUR,
DNG020830021A,BAKAL BATUR,
DNG02135,DAPUR SEHAT SUMBEREJO BATUR,
DNG02146,SUMBEREJO BATUR,
DNG030720007,DIENG KULON BATUR,√
