No Tiang,Alamat,Sg,Ml
TRAFO_1_FASA,,,
DNG02 012 T002,Sikunang,√,
DNG02 039,Ngandam,√,
DNG02 071,Pulosari,√,
DNG02 071A,Pulosari,√,
DNG02 075 S017,Tempuran,√,
DNG02 075 S019,Tempuran,√,
DNG02 075 S038,Plemburan,√,
DNG02 075 S068,Jawera,√,
DNG02 075 S068A,Jawera,√,
DNG02 084 S012,Serangan Condong,√,
DNG02 091 U003,Condong,√,
DNG02 091 U005,Condong,√,
DNG02 092,Condong,√,
DNG02 093 B008,Tidak ada,,
DNG02 098,Gembol,√,
DNG02 100 S012,Gembol,√,
DNG02 100 S022,Kandangan,√,
DNG02 102,Gembol,√,
DNG02 102 S004,Gembol,√,
DNG02 105,Alfamart Gembol,√,
DNG02 113 S001,Surenan,√,
DNG02 113 U010,Surenan,,
DNG02 113 U012,Surenan,,
DNG02 115 S015,Surenan,,
DNG02 129 S002,Kaliputih,√,
DNG02 129 S005,Kaliputih,√,
DNG02 129 S006,Kaliputih,√,
DNG02 134,MBG Sumber,,
DNG02 146,Sumberrejo,,
DNG02 146 B001,Sumberrejo,,
DNG02 146 B003,Sumberrejo,,
DNG02 148,Sumberrejo,,
DNG02 156 T001,Serang batur,,
DNG02 156 T010,Simbar,,
DNG02 161,Batur,,
DNG02 164 S014,Batur,,
DNG02 166 U002,Batur,,
DNG02 166 U004,Batur,,
DNG02 166 U007,Batur,,
DNG02 166 U009,Batur,,
DNG02 166 U010,Batur,,
DNG02 168,Batur,,
DNG02 169 S030,Bakalan,√,
DNG02 169 S043,Jlegong,√,
DNG02 169 S051,Jlegong,√,
DNG02 172,Bojangsark,√,
DNG02 179,Sigebluk,√,
DNG02 185,Purwajiwa,√,
DNG02 186 S014,Bakalan,√,
DNG02 187 B019 S018,tidakada,,
DNG02 187 U024,tidakada,,
DNG02 187 U024 B018 U002,Cemeti,,
DNG02 187 U024 B021,Sayangan,,
DNG02 187 U024 B026,Sayangan,,
DNG02 187 U037,Tlagabang,,
DNG02 187 U065 B056,Tidak ada,,
DNG02 187 U065 B118,Tidak ada,,
DNG02 187 U080,Kradenan,,
DNG02 187 U081,Kradenan,,
DNG02 187 U082,Tidak ada,,
DNG02 187 U098,Gerlang,,
DNG02 187 U100 T020,Sidongkal,,
DNG02 187 U100 T020 S019,Wanapriya,,
DNG02 187 U100 T020 U042,Watulembu,,
DNG02 187 U100 T033,Kayuabang,,
DNG02 187 U119 S001,tidak ada,,
DNG02 187 U120,Tidakada,,
DNG02 187 U132,tidakada,,
DNG02 187 U162,Sikesot,,
DNG02 200,Kalianget,√,
DNG02 208,tidak ada,,
DNG02 208 B008,Majatengah,√,
DNG02 210 B004A,Tembok,√,
DNG02 210 B004B,Tembok,√,
DNG02 083 U020,Bakal,√,
DNG02 083 U021,Bakal,√,
DNG02 083 U021A,Bakal,√,
DNG02 083 U034,Natchamp,√,
DNG02 083 U036 S007,Buntu,√,
DNG02 083 U036 S011,Buntu,√,
DNG02 083 U036 S011A,Buntu,√,
DNG02 083 U043,Karangtengah,√,
DNG02 083 U048,Karangtengah,√,
DNG02 083 U050 B002,Karangtengah,√,
DNG02 083 U051,Karangtengah,√,
DNG02 083 U064,Simpangan,√,
DNG02 083 U065 B018 U034,Sigandul,,√
DNG02 083 U065 B018 U047,Bitingan,,√
DNG02 083 U065 B018 U071,Sigemplong,,√
DNG02 083 U065 B018 U071 S021,Pranten,,√
DNG02 083 U065 B018 U071A,SMP,,√
DNG02 083 U065 B018 U073,Tidakada,,
DNG02 083 U065 B018 U092,Bintoro,,√
DNG02 083 U065 B018 U095,tidak ada,,
DNG02 083 U065 B022,Sikalam,,
DNG02 083 U065 B023,Pakisan,,
DNG02 083 U065 B032,pakisan,,
DNG02 083 U065 B057,Pekasiran,,
DNG02 083 U065 B059,Pekasiran,,
DNG02 083 U065 B060 U002,Pekasiran,,
DNG02 083 U065 B060 U002A,Pekasiran,,
DNG02 083 U065 B061,Pekasiran,,
DNG02 083 U065 B065 U002,Pekasiran,,
DNG02 083 U068,Simpangan,,
DNG02 083 U078 B005,Pawuhan,√,
DNG02 083 U078 B005 S002,Pawuhan,√,
DNG02 083 U078 B038,Siglagah,√,
DNG02 083 U085,Dieng kulon,√,
DNG02 083 U087,Dieng kulon,√,
DNG02 083 U090 T001,Dieng kulon,√,
DNG02 083 U090 T002,Dieng kulon,√,
DNG02 145 S015 T009,Mramen,,
DNG02 145 S015 T020,Maron,,
DNG02 145 S015 T056,Sitalang,,
DNG02 145 S015 T061,Sidengok,,
DNG02 145 S015 T061 B017,Lengkong,,
DNG02 145 S015 T061 B032,Kubang,,
DNG02 145 S015 T084 U005,Kluwung,,
DNG02 145 S015 T098,Beji,,
