No Tiang,Desa,Siang,Malam
ABSW,,,
DNG 03 131,PAKISAN,√,
DNG 03 206,GEMBOL,√,
DNG 02 145 S005,SUMBERREJO BATUR,√,
,,,
FCO,,,
DNG02156T001U001,DESA.SERANG BATUR,√,
DNG02146B001,BATUR,√,
DNG02166S001,BATUR,-,-
DNG02166U006,BATUR,√,
DNG02169U001,BATUR,√,
DNG02186S001,BATUR,√,
DNG02187U001,BATUR,√,
DNG02187U023,BATUR,-,-
DNG02187U024B001,PESAYANGAN BTR,√,
DNG02187U100,WATU LEMBU,√,
DNG02208B003,DESA.MOJO TENGAH,√,
DNG02083U065B001,KEPAKISAN,,
DNG02083U065B018U001,KEPAKISAN,,
DNG02083U065B018U051,KEPAKISAN,,
DNG02083U065B018U070,KEPAKISAN,,
DNG02083U065B050,KEPAKISAN,,
DNG02083U065B063,KEPAKISAN,,
DNG02083U078B001,PAWUHAN,,
DNG02145S015T001,SIDENGOK,,
DNG02145S015T021,DESA.SIDENGKOK,,
DNG02145S015T064,DESA.LENGKONG,,
DNG02145S037B001,KANDANGAN RATAMBA,,
DNG03118U016,DQIANO,,
DNG03118U042,SIGEMPLONG,,
,,,
TRAFO 1 FASA,,,
DNG01045B006,Desa karangsari,,
DNG01045B007,Ds.Karangsari,,
DNG01224T003,REJOSARI,,
DNG01045B008,KARANGSARI DIENG,,
WBO01165T002,garung,,
WBO01169B001,garung depan kecamatan,,
WBO01157,garung,,
WBO01167,Pasar Garung,,
WBO01163T020,sendangsari,,
WBO01163T055,dawuhan,,
WBO01163T046,kayugiyang,,
WBO01153B012,dadapan,,
WBO01153B008,dadapan,,
WBO01153B017,suruhan,,
WBO01163T050,dawuhan,,
WBO01169B094T016,Dk/Ds. Serang gedeq Kejajar,,
DNG02193,Java Greek Kalianget Batur,,
DNG02092,Ds.Condong,,
DNG02187U100U020,Kayuabang,,
DNG02187U162,Wanapriya,,
DNG02187U082,Kradenan,,
DNG02187U120,Sidongkal,,
DNG02187U024B021,Ds.Sayangan Wetan,,
DNG02187U132,Watulembu,,
DNG02187U098,Gerlang,,
DNG02187U024B026,Ds.Sayangan Kulon,,
DNG02187U024B018U002,Ds. Cemeti,,
DNG02187U037,Tlagabang,,
DNG02187U080,Kradenan bts,,
DNG02187U100U062,Sikesut,,
DNG02169S043,Jlegong kulon,,
DNG02210B004B,Dsn tembok,,
DNG02172,Bujangsari,,
DNG02186S014,Karang anyar batur,,
DNG02169S051,Jlegong kulon,,
DNG02169S030,Bakalan,,
DNG02198,Kalianget batur,,
DNG02185,Purwajiwa,,
DNG02208B008,Maja tengah,,
DNG02179,Si geblug,,
DNG02210B004,Dsn tembok kulon,,
DNG02166U009,Batur lor,,
DNG02166U010,Batur lor,,
DNG02161,Alfamart batur,,
DNG02166U007,Batur lor,,
DNG02164S014,Sidarja,,
DNG02106,Alfamart gembol,,
DNG03078,SD Dieng kulon,,
DNG03087U038,Rejosari siglagah,,
DNG03163U058,Gunung Alang,,
DNG02145S015T009,Pramen,,
DNG02145S027,Ratamba,,
DNG02145S034,Ratamba,,
DNG02145S015T056,Sidengok,,
DNG02145S015T061B017,Lengkong,,
DNG02145S036,Ratamba,,
DNG02145S015T084U005,Kluwung beji,,
DNG02145S015T061B032,Kubang,,
DNG02145S015T020,Maron  pramen,,
DNG02145S015T098,Beji,,
DNG02145S046,Kali ireng,,
DNG02145S015T117,Genting sidengok,,
DNG02145S015T061B021,Krobokan,,
DNG02145S037B012,Kandangan ratamba,,
DNG02145S015T061,Sidengok,,
DNG02145S015T122,Genting sidengok,,
DNG02145S015T028U001,Tower Sitalang,,
DNG02083U048,Karang tengah,,
DNG02083U050B003,Kr.Tengah SISIPAN,,
DNG02083U021A,Bakal,,
DNG02083U021B,Bakal,,
DNG02083U050B002,Kr.Tengah,,
DNG02083U034,Karang bakal,,
DNG02083U064,Simpangan,,
DNG02083U020,BAKAL,,
DNG02083U036S011A,Buntu,,
DNG03125,Pakisan krajan,,
DNG03161U002,Pekasiran,,
DNG03130,Pekasiran,,
DNG03161S002,Pekasiran,,
DNG03159,Pekasiran,,
DNG03158,Pekasiran,,
DNG03122,Pakisan,,
DNG03132,Pakisan,,
DNG03118U047,Bitingan,,
DNG03118U091,Bintoro,,
DNG03118U071T021,Pranten,,
DNG03118U071T002,Sigemplong,,
DNG03118U034U031,Sigandul,,
DNG03162,Pekasiran,,
DNG03191U001,Pasurenan,,
DNG03184,Gandoran sidomulyo,,
DNG03195,Pasurenan,,
DNG03191,Pasurenan,,
DNG03193,Pasurenan,,
DNG03072,Dieng kulon,,
DNG03080,Dieng kulon,,
DNG03087U004,Pawuan,,
DNG03072U002,Dieng kulon,,
DNG03098,Simpangan,,
DNG03072U001,Dieng kulon,,
DNG03075U004,Dieng kulon,,
DNG03087U004B002,Pawuan,,
DNG02083U036S011,Buntu,,
DNG02083U036S007,Buntu,,
,,,
